Basic ELO	k0	lambda	accuracy	precision	recall	f1	roc_auc
900	12	1.0	0.61	0.6219	0.6855	0.6508	0.6573
900	12	1.2	0.6025	0.6122	0.6919	0.6485	0.6408
900	12	1.4	0.5947	0.6044	0.6924	0.6443	0.6309
900	12	1.6	0.5903	0.5994	0.6938	0.642	0.6277
900	12	1.8	0.597	0.6052	0.6986	0.6474	0.6271
900	14	0.2	0.631	0.6434	0.6954	0.6661	0.6832
900	14	0.4	0.6312	0.6444	0.6935	0.6657	0.6842
900	14	0.6	0.6264	0.6384	0.6935	0.6626	0.6794
900	14	0.8	0.6182	0.6301	0.6887	0.6565	0.6685
900	14	1.0	0.6074	0.6188	0.6868	0.6498	0.6525
900	14	1.2	0.6011	0.6105	0.6924	0.6479	0.637
900	14	1.4	0.5936	0.6029	0.6927	0.6439	0.6294
900	14	1.6	0.5923	0.6005	0.7012	0.6455	0.6254
900	14	1.8	0.5988	0.6066	0.6999	0.6488	0.6284
900	16	0.2	0.6291	0.6422	0.6927	0.6641	0.6835
900	16	0.4	0.6322	0.6445	0.6959	0.667	0.6832
900	16	0.6	0.6244	0.6372	0.6924	0.6611	0.6769
900	16	0.8	0.6159	0.6274	0.6892	0.6554	0.6648
900	16	1.0	0.6065	0.6174	0.6868	0.6491	0.6484
900	16	1.2	0.5989	0.6086	0.6916	0.6464	0.6341
900	16	1.4	0.595	0.6038	0.6967	0.6462	0.6276
900	16	1.6	0.5899	0.5986	0.6972	0.6432	0.6223
900	16	1.8	0.5978	0.6057	0.7031	0.6495	0.628
900	18	0.2	0.6304	0.6438	0.6927	0.665	0.6833
900	18	0.4	0.6291	0.6412	0.6954	0.6649	0.6819
900	18	0.6	0.6233	0.6351	0.6906	0.6601	0.6744
900	18	0.8	0.6137	0.6254	0.6868	0.6532	0.6613
900	18	1.0	0.6056	0.616	0.6887	0.6493	0.6449
900	18	1.2	0.597	0.6069	0.6903	0.6448	0.632
900	18	1.4	0.5919	0.6006	0.6962	0.6438	0.6255
900	18	1.6	0.5897	0.5982	0.701	0.6445	0.6237
900	18	1.8	0.5948	0.6017	0.7077	0.649	0.6255
1000	2	0.2	0.615	0.6227	0.7039	0.6589	0.6602
1000	2	0.4	0.621	0.6307	0.6981	0.6607	0.6669
1000	2	0.6	0.6253	0.6368	0.6935	0.6617	0.6757
1000	2	0.8	0.6294	0.6412	0.6967	0.6652	0.682
1000	2	1.0	0.6291	0.6404	0.6983	0.6657	0.6848
1000	2	1.2	0.6246	0.6368	0.6911	0.661	0.6823
1000	2	1.4	0.6215	0.6322	0.6938	0.6599	0.673
1000	2	1.6	0.6125	0.6229	0.6908	0.6538	0.6571
1000	2	1.8	0.6036	0.6136	0.6927	0.6494	0.6398
1000	4	0.2	0.6257	0.6353	0.6997	0.6639	0.6698
1000	4	0.4	0.6287	0.6401	0.6965	0.6649	0.6778
1000	4	0.6	0.6305	0.6432	0.6938	0.6654	0.6837
