hidden_layer_sizes	activation	solver	alpha	learning_rate	learning_rate_init	early_stopping	accuracy
512x3	tanh	sgd	1e-05	adaptive	0.01	True	0.9473
512x3	tanh	adam	1e-05	adaptive	0.01	True	0.94947
512x3	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97484
512x3	tanh	sgd	1e-05	adaptive	0.001	True	0.94498
512x3	tanh	adam	1e-05	adaptive	0.001	True	0.95862
512x3	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97711
512x3	tanh	sgd	1e-05	adaptive	0.0001	True	0.8824
512x3	tanh	adam	1e-05	adaptive	0.0001	True	0.94947
512x3	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97484
512x3	tanh	sgd	1e-05	invscaling	0.1	True	0.94265
512x3	tanh	adam	1e-05	invscaling	0.1	True	0.90809
512x3	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97711
512x3	tanh	sgd	1e-05	invscaling	0.01	True	0.90835
512x3	tanh	adam	1e-05	invscaling	0.01	True	0.95396
512x3	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97711
512x3	tanh	sgd	1e-05	invscaling	0.001	True	0.76158
512x3	tanh	adam	1e-05	invscaling	0.001	True	0.9518
512x3	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97257
512x3	tanh	sgd	1e-05	invscaling	0.0001	True	0.51364
512x3	tanh	adam	1e-05	invscaling	0.0001	True	0.93827
512x3	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97711
64x1	tanh	sgd	1e-05	adaptive	0.1	False	0.98393
64x1	tanh	adam	1e-05	adaptive	0.1	False	0.97014
64x1	tanh	lbfgs	1e-05	adaptive	0.1	False	0.97484
64x1	tanh	sgd	1e-05	adaptive	0.01	False	0.97257
64x1	tanh	adam	1e-05	adaptive	0.01	False	0.97706
64x1	tanh	lbfgs	1e-05	adaptive	0.01	False	0.97711
64x1	tanh	sgd	1e-05	adaptive	0.001	False	0.97933
64x1	tanh	adam	1e-05	adaptive	0.001	False	0.97711
64x1	tanh	lbfgs	1e-05	adaptive	0.001	False	0.98166
