Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21900220	2019-11-22	1610612747	W	130	LAL @ OKC	1610612760	L	127	1423.0	1383.0
21900221	2019-11-22	1610612739	L	101	CLE @ DAL	1610612742	W	143	1160.0	1359.0
21900222	2019-11-22	1610612738	L	92	BOS @ DEN	1610612743	W	96	1493.0	1470.0
21900223	2019-11-22	1610612744	L	109	GSW @ UTA	1610612762	W	113	1312.0	1468.0
21900224	2019-11-22	1610612745	L	119	HOU @ LAC	1610612746	W	122	1527.0	1440.0
21900225	2019-11-23	1610612750	L	98	MIN vs. PHX	1610612756	W	100	1316.0	1246.0
21900226	2019-11-23	1610612741	W	116	CHI @ CHA	1610612766	L	115	1195.0	1265.0
21900227	2019-11-23	1610612753	L	106	ORL @ IND	1610612754	W	111	1381.0	1408.0
21900228	2019-11-23	1610612737	L	116	ATL vs. TOR	1610612761	W	119	1205.0	1506.0
21900229	2019-11-23	1610612752	L	104	NYK vs. SAS	1610612759	W	111	1118.0	1331.0
21900230	2019-11-23	1610612748	L	86	MIA @ PHI	1610612755	W	113	1430.0	1428.0
21900231	2019-11-23	1610612739	W	110	CLE vs. POR	1610612757	L	104	1151.0	1399.0
21900232	2019-11-23	1610612747	W	109	LAL @ MEM	1610612763	L	108	1431.0	1225.0
21900233	2019-11-23	1610612749	W	104	MIL vs. DET	1610612765	L	90	1577.0	1277.0
21900234	2019-11-23	1610612740	L	120	NOP @ UTA	1610612762	W	128	1273.0	1471.0
21900235	2019-11-24	1610612742	W	137	DAL @ HOU	1610612745	L	123	1368.0	1520.0
21900236	2019-11-24	1610612751	W	103	BKN @ NYK	1610612752	L	101	1336.0	1111.0
21900237	2019-11-24	1610612758	W	113	SAC @ WAS	1610612764	L	106	1295.0	1281.0
21900238	2019-11-24	1610612743	W	116	DEN vs. PHX	1610612756	L	104	1476.0	1254.0
21900239	2019-11-24	1610612740	L	109	NOP @ LAC	1610612746	W	134	1269.0	1447.0
21900240	2019-11-25	1610612739	L	106	CLE vs. BKN	1610612751	W	108	1165.0	1340.0
21900241	2019-11-25	1610612753	L	88	ORL @ DET	1610612765	W	103	1375.0	1274.0
21900242	2019-11-25	1610612754	W	126	IND vs. MEM	1610612763	L	114	1414.0	1222.0
21900243	2019-11-25	1610612737	L	113	ATL vs. MIN	1610612750	W	125	1202.0	1308.0
21900244	2019-11-25	1610612738	W	103	BOS vs. SAC	1610612758	L	102	1487.0	1308.0
21900245	2019-11-25	1610612748	W	117	MIA vs. CHA	1610612766	L	100	1413.0	1259.0
21900246	2019-11-25	1610612755	L	96	PHI @ TOR	1610612761	W	101	1445.0	1509.0
21900247	2019-11-25	1610612741	L	94	CHI vs. POR	1610612757	W	117	1201.0	1385.0
21900248	2019-11-25	1610612749	W	122	MIL vs. UTA	1610612762	L	118	1580.0	1475.0
21900249	2019-11-25	1610612747	W	114	LAL @ SAS	1610612759	L	104	1434.0	1338.0
21900250	2019-11-25	1610612744	L	97	GSW vs. OKC	1610612760	W	100	1309.0	1375.0
21900251	2019-11-26	1610612742	L	99	DAL vs. LAC	1610612746	W	114	1392.0	1455.0
21900252	2019-11-26	1610612743	W	117	DEN vs. WAS	1610612764	L	104	1480.0	1268.0
21900253	2019-11-27	1610612738	W	121	BOS vs. BKN	1610612751	L	110	1489.0	1344.0
21900254	2019-11-27	1610612765	L	101	DET @ CHA	1610612766	W	102	1290.0	1252.0
21900255	2019-11-27	1610612739	L	104	CLE vs. ORL	1610612753	W	116	1161.0	1359.0
21900256	2019-11-27	1610612754	W	121	IND vs. UTA	1610612762	L	102	1419.0	1471.0
21900257	2019-11-27	1610612755	W	97	PHI vs. SAC	1610612758	L	91	1440.0	1306.0
21900258	2019-11-27	1610612752	L	98	NYK @ TOR	1610612761	W	126	1107.0	1514.0
21900259	2019-11-27	1610612745	W	117	HOU vs. MIA	1610612748	L	108	1496.0	1420.0
21900260	2019-11-27	1610612746	W	121	LAC @ MEM	1610612763	L	119	1472.0	1217.0
21900261	2019-11-27	1610612737	L	102	ATL @ MIL	1610612749	W	111	1189.0	1584.0
21900262	2019-11-27	1610612750	W	113	MIN @ SAS	1610612759	L	101	1321.0	1326.0
21900263	2019-11-27	1610612756	L	132	PHX vs. WAS	1610612764	W	140	1250.0	1264.0
21900264	2019-11-27	1610612740	L	110	NOP vs. LAL	1610612747	W	114	1261.0	1446.0
21900265	2019-11-27	1610612757	W	136	POR vs. OKC	1610612760	L	119	1400.0	1382.0
21900266	2019-11-27	1610612741	L	90	CHI @ GSW	1610612744	W	104	1186.0	1302.0
21900267	2019-11-29	1610612738	L	107	BOS @ BKN	1610612751	W	112	1495.0	1338.0
21900268	2019-11-29	1610612765	L	107	DET vs. CHA	1610612766	W	110	1286.0	1256.0
